Name,Created time,Last edited time,Last edited by
0- Revisions,5 avril 2025 12:01,5 avril 2025 18:00,OLB_
1.1-Contrôles de Sécurités,8 décembre 2024 18:58,21 mars 2025 14:45,OLB_
"1.2 AAA ",8 décembre 2024 19:16,6 avril 2025 12:41,OLB_
1.2 CIA Triad,8 décembre 2024 19:07,4 avril 2025 12:53,OLB_
1.2 Deception and Disruption,25 décembre 2024 19:04,4 avril 2025 12:55,OLB_
1.2 Gap Analysis,8 décembre 2024 19:46,4 avril 2025 13:02,OLB_
"1.2 Physical Security ",25 décembre 2024 19:00,4 avril 2025 13:04,OLB_
1.2 Zero Trust,8 décembre 2024 19:56,6 avril 2025 12:48,OLB_
1.3 Technical Change Management,25 décembre 2024 19:31,4 avril 2025 13:10,OLB_
"1.4 Blockchain ",29 décembre 2024 15:55,4 avril 2025 13:35,OLB_
1.4 Certificates,29 décembre 2024 16:07,6 avril 2025 13:17,OLB_
1.4 Encrypting Stored data,26 décembre 2024 19:00,6 avril 2025 13:57,OLB_
1.4 Encryption Technologies,26 décembre 2024 19:39,4 avril 2025 14:24,OLB_
1.4 Hash and Digital signature,29 décembre 2024 15:42,29 décembre 2024 15:55,OLB_
1.4 Key Exchange,26 décembre 2024 19:27,4 avril 2025 14:32,OLB_
1.4 Obsfuscation,29 décembre 2024 15:32,13 mars 2025 17:40,OLB_
1.4 Public Key Infrastructure,26 décembre 2024 18:20,4 avril 2025 15:05,OLB_
"2.1 Threat actors ",29 décembre 2024 16:36,4 avril 2025 15:08,OLB_
2.2 Impersonation,29 décembre 2024 17:22,4 avril 2025 15:10,OLB_
2.2 Others social engineering attacks,29 décembre 2024 17:33,4 avril 2025 15:13,OLB_
2.2 Phishing,29 décembre 2024 17:17,4 avril 2025 15:15,OLB_
2.2 Threat vectors,29 décembre 2024 16:45,4 avril 2025 15:18,OLB_
2.2 Watering Hole Attack,29 décembre 2024 17:28,4 avril 2025 15:23,OLB_
2.3 Buffer Overflow,29 décembre 2024 18:43,4 avril 2025 15:23,OLB_
2.3 Cloud / Web specific vuln.,29 décembre 2024 19:38,4 avril 2025 15:26,OLB_
2.3 Cross site scripting XSS,29 décembre 2024 19:13,4 avril 2025 15:33,OLB_
2.3 Hardware vulnerabilities,29 décembre 2024 19:25,4 avril 2025 15:34,OLB_
2.3 Malicious updates,29 décembre 2024 18:56,4 avril 2025 15:35,OLB_
"2.3 Memory Injections ",29 décembre 2024 18:34,13 mars 2025 19:54,OLB_
